,DEC_LAT,DEC_LONG,DRINKING_DRIVER,CELL_PHONE,RUNNING_RED_LT,AGGRESSIVE_DRIVING,DISTRACTED,DRUGGED_DRIVER,ILLEGAL_DRUG_RELATED,RUNNING_STOP_SIGN,NEIGHBORHOOD
3088,40.4326,-79.9276,0,0,1,1,0,0,0,0,Squirrel Hill South
3092,40.4546,-79.8814,0,0,0,0,0,0,0,0,East Hills
3093,40.4602,-79.9838,0,0,0,0,0,0,0,0,Troy Hill
3094,40.4853,-80.0095,0,0,0,1,0,0,0,0,Perry North
3095,40.4366,-79.999,0,0,0,1,0,0,0,0,Central Business District
3096,40.4765,-80.0317,0,0,0,0,0,0,0,0,Brighton Heights
3097,40.4394,-80.0164,0,0,0,1,0,0,0,0,South Shore
3099,40.4288,-79.9826,0,0,0,0,1,0,0,0,South Side Flats
3100,40.3943,-80.0263,0,0,0,0,0,0,0,0,Brookline
3101,40.4752,-79.9577,0,0,0,0,0,0,0,0,Central Lawrenceville
3103,40.4381,-79.9851,0,0,0,1,0,0,0,0,Bluff
3104,40.402,-80.0006,0,0,0,1,0,0,0,1,Carrick
3105,40.3998,-79.9891,0,0,0,0,0,0,0,0,Carrick
3109,40.4288,-79.9562,0,0,0,1,0,0,0,0,South Oakland
3113,40.4381,-80.0127,0,0,0,1,0,0,0,0,South Shore
3117,40.4315,-79.9589,1,0,0,0,0,0,0,0,South Oakland
3118,40.4403,-80.0094,0,0,0,1,0,0,0,0,Central Business District
3119,40.4274,-79.9507,0,0,0,1,0,0,0,0,Greenfield
3165,40.4319,-80.0242,0,0,0,1,0,0,0,0,Duquesne Heights
3211,40.4197,-79.9875,0,0,0,0,0,0,0,0,South Side Slopes
3274,40.4185,-79.9803,0,0,0,0,0,0,0,0,South Side Slopes
3276,40.415,-80.0113,0,0,0,1,0,0,0,0,Mount Washington
3277,40.43,-79.9987,0,0,0,0,1,0,0,0,South Side Flats
3279,40.4258,-80.0198,0,0,0,0,0,0,0,0,Mount Washington
3280,40.4253,-79.9644,0,0,0,1,0,0,0,0,South Side Flats
3281,40.4165,-79.9952,0,0,0,1,0,0,0,0,Knoxville
3282,40.4065,-80.0282,0,0,0,1,0,0,0,0,Beechview
3284,40.3983,-80.0263,0,0,1,1,0,0,0,0,Beechview
3288,40.4878,-79.8973,0,0,0,0,0,0,0,0,Lincoln-Lemington-Belmar
3289,40.4878,-79.8973,0,0,0,0,0,0,0,0,Lincoln-Lemington-Belmar
3291,40.4517,-79.8847,0,0,0,1,0,0,0,1,East Hills
3292,40.4604,-79.9219,1,0,0,1,0,0,0,0,East Liberty
3295,40.4452,-79.896,0,0,0,0,0,0,0,0,Point Breeze
3297,40.4444,-79.9377,0,0,0,1,0,0,0,0,Squirrel Hill North
3298,40.4488,-79.9101,0,0,1,1,0,0,0,0,Point Breeze
3299,40.454,-79.9124,0,0,0,1,0,0,0,0,Point Breeze
3300,40.4481,-79.898,0,0,0,0,0,0,0,0,Point Breeze North
3301,40.4241,-79.9283,0,0,0,1,0,0,0,0,Greenfield
3302,40.4408,-79.9544,0,0,0,1,0,0,0,0,Central Oakland
3303,40.4541,-79.9063,0,0,0,1,0,0,0,1,Point Breeze North
3304,40.4212,-79.9296,0,0,0,1,0,0,0,0,Greenfield
3305,40.4221,-79.9278,0,0,0,0,0,0,0,0,Greenfield
3349,40.4272,-79.9071,1,1,0,0,1,0,0,0,Squirrel Hill South
3350,40.4353,-79.919,0,1,0,0,1,0,0,0,Squirrel Hill South
3351,40.4486,-79.8996,0,0,0,0,0,0,0,0,Point Breeze
3353,40.4557,-79.8934,0,0,0,1,0,0,0,1,Homewood South
3354,40.4681,-79.9279,0,0,0,1,0,0,0,0,East Liberty
3355,40.4574,-79.9174,0,0,0,0,0,0,0,0,Shadyside
3356,40.454,-79.9124,0,0,0,1,0,0,0,0,Point Breeze
3357,40.4568,-79.898,0,0,1,1,0,0,0,0,Homewood South
3358,40.4775,-80.0,0,0,0,0,0,0,0,0,Northview Heights
3361,40.4831,-79.8985,1,0,0,1,0,0,0,0,Lincoln-Lemington-Belmar
3362,40.4219,-79.9278,0,0,0,0,0,0,0,0,Greenfield
3364,40.4545,-79.9217,0,1,0,0,1,0,0,0,Shadyside
3365,40.4661,-80.0341,0,0,0,0,1,0,0,0,Marshall-Shadeland
3366,40.4551,-80.0086,0,0,0,0,0,0,0,0,Allegheny Center
3367,40.3852,-79.9948,0,0,0,0,0,0,0,0,Overbrook
3368,40.4797,-79.9549,0,0,0,1,0,0,0,0,Upper Lawrenceville
3369,40.436,-79.9991,0,0,0,0,0,0,0,0,Central Business District
3370,40.4424,-79.9921,0,0,0,1,0,0,0,0,Crawford-Roberts
3371,40.4598,-79.9714,0,0,0,1,0,0,0,0,Strip District
3376,40.4664,-79.9938,0,0,0,0,0,0,0,0,Spring Hill-City View
3377,40.4813,-80.0135,0,0,0,0,1,0,0,0,Perry North
3378,40.4572,-79.9978,0,0,0,0,0,0,0,0,East Allegheny
3379,40.4647,-80.033,0,0,0,0,0,0,0,0,Marshall-Shadeland
3380,40.4163,-80.0299,0,0,0,1,0,0,0,0,Beechview
3381,40.4457,-80.0302,0,0,0,1,0,0,0,0,Elliott
3382,40.4352,-79.9951,0,0,0,0,0,0,0,0,Central Business District
3383,40.3958,-80.0165,1,0,0,1,0,0,0,0,Brookline
3384,40.4252,-80.0313,0,0,0,0,0,0,0,0,Ridgemont
3385,40.4293,-79.9992,0,0,0,1,0,0,0,0,South Shore
3386,40.4143,-79.9936,0,0,0,1,0,0,0,0,Knoxville
3387,40.3983,-80.0263,0,0,0,1,0,0,0,0,Beechview
3389,40.4287,-79.9885,0,0,0,0,0,0,0,0,South Side Flats
3390,40.413,-80.01,0,0,0,0,0,0,0,0,Brookline
3391,40.4321,-80.0039,0,0,0,1,0,0,0,0,South Shore
3392,40.4349,-79.9733,0,0,0,0,0,0,0,0,Bluff
3394,40.468,-80.0219,0,0,0,1,0,0,0,0,Perry South
3395,40.467,-80.0249,0,0,0,1,0,0,0,0,Perry South
3398,40.4661,-79.9558,0,0,0,1,0,0,0,0,Central Lawrenceville
3400,40.4497,-79.9986,0,0,0,0,0,0,0,0,North Shore
3401,40.4317,-79.9975,0,0,0,1,0,0,0,0,South Side Flats
3402,40.4438,-79.9939,0,0,0,0,1,0,0,0,Central Business District
3404,40.4405,-79.9915,0,0,0,1,0,0,0,0,Central Business District
3406,40.4399,-80.0091,1,0,0,1,0,0,0,0,Central Business District
3414,40.3962,-79.9981,1,0,0,0,0,0,0,0,Carrick
3417,40.4543,-79.887,0,0,0,0,0,0,0,0,Homewood South
3419,40.4418,-79.9199,0,0,1,1,0,0,0,0,Squirrel Hill North
3422,40.4378,-79.923,0,0,0,0,0,0,0,0,Squirrel Hill South
3425,40.429,-79.9309,0,0,0,0,0,0,0,0,Squirrel Hill South
3444,40.4557,-79.9429,0,0,0,0,0,0,0,0,Bloomfield
3446,40.4359,-79.9707,0,0,0,0,0,0,0,0,South Oakland
3447,40.4302,-80.0274,0,0,0,1,0,0,0,0,West End
3450,40.4934,-80.0106,0,0,0,1,0,0,0,0,Perry North
3451,40.427,-79.9198,0,0,0,1,0,0,0,0,Squirrel Hill South
3493,40.438,-79.9131,0,0,0,1,0,0,0,0,Squirrel Hill South
3497,40.475,-80.0113,0,0,0,0,0,0,0,0,Perry South
3498,40.4414,-80.0039,0,0,0,0,0,0,0,0,Central Business District
3500,40.4396,-80.0051,0,0,0,0,0,0,0,0,Central Business District
3517,40.4645,-79.8996,0,0,0,1,0,0,0,0,Homewood North
3518,40.4588,-79.9471,0,0,0,1,0,0,0,0,Bloomfield
3521,40.4637,-79.9239,0,0,0,1,0,0,0,0,East Liberty
3522,40.4581,-79.9346,0,0,0,0,0,0,0,0,Friendship
3523,40.487,-79.8867,0,0,0,0,1,0,0,0,Lincoln-Lemington-Belmar
3532,40.491,-79.8872,0,0,0,1,0,0,0,0,Lincoln-Lemington-Belmar
3555,40.3912,-80.0131,0,0,0,1,0,0,0,1,Brookline
3556,40.4535,-80.0541,0,0,0,0,1,0,0,0,Sheraden
3557,40.3981,-80.0269,0,0,0,1,0,0,0,0,Brookline
3558,40.4173,-80.0359,0,0,0,0,0,0,0,0,Banksville
3559,40.3879,-79.9964,0,0,1,1,0,0,0,0,Overbrook
3560,40.3921,-80.0177,0,0,0,1,0,0,0,0,Brookline
